english,hits,source_tags,label_from,top_sources
happy,29208,40,top_en,happy(14257) | 😊(3183) | 开心(1679) | 高兴(1214) | delighted(1158) | happy:7(719) | 😃(693) | 😁(592)
calm,21534,33,top_en,calm(10114) | 平静(4483) | 平静的(1303) | relaxed(665) | 平淡(576) | 冷静(551) | 😌(472) | 语速：平静，语调：平缓(352)
angry,17152,38,top_en,angry(5674) | 愤怒(1970) | 😡(1911) | 生气(1432) | anger(1033) | anger:7(624) | 🤬(384) | 😠(345)
pause,17114,46,top_en,pause(8019) | 停顿(1044) | short pause(943) | long pause(928) | pause: 1s(702) | pausa(600) | pause 0.5s(525) | pause 1s(477)
excited,14460,21,top_en,excited(8554) | 激动(1823) | 兴奋(1394) | exited(312) | emocionado(295) | 🔥(294) | excitada(260) | 兴奋的(183)
sad,13277,40,top_en,sad(5024) | 😔(1213) | sadness(615) | sadness:7(589) | 悲伤(561) | sadness:4;fear:3(476) | sadness:5(303) | 委屈(302)
moaning,8964,18,top_en,moaning(4601) | moan(1138) | moans(604) | 娇喘(546) | orgasm(479) | 呻吟(318) | moaning loudly(296) | erotic moans(159)
horny,7100,19,top_en,horny(1624) | sexy(1412) | 🥵(1144) | aroused(474) | erotic(330) | pleasure(325) | 🤤(316) | 🍆(289)
fear,6118,28,top_en,fear(861) | scared(763) | 😨(510) | fear:7(467) | fearful(385) | 😱(317) | 害怕(297) | 恐惧(207)
serious,5997,18,top_en,serious(2613) | 严肃(769) | 严肃，旁白(372) | 低沉(316) | 认真(252) | 沉稳(251) | 严肃的(224) | 严肃、旁白(211)
laugh,5618,12,top_en,laugh(1470) | laughing(1333) | 😂(968) | laughs(538) | 😆(311) | laughter(309) | 🤣(290) | risa(116)
confused,5274,14,top_en,疑惑(1438) | 疑问(1051) | confused(917) | question(493) | 疑惑的(339) | doubt(166) | questioning(160) | 😕(147)
surprised,4961,17,top_en,surprised(913) | 惊讶(872) | shocked(852) | 震惊(563) | surprise(507) | 惊喜(215) | shock(170) | 惊讶的(151)
crying,4453,11,top_en,crying(1363) | 😭(1281) | cry(472) | 😢(406) | 哭泣(229) | sobbing(227) | 哭腔(149) | 哽咽(135)
whisper,4172,12,top_en,whisper(1962) | whispering(1067) | whispers(277) | 轻声(147) | 🤫(145) | 小声(133) | 低声(116) | whispered(83)
shouting,3969,15,top_en,shouting(1324) | shout(718) | yelling(382) | 大喊(374) | gritando(169) | 怒吼(140) | gritos(117) | 大声(115)
gentle,3701,6,top_en,温柔(1887) | gentle(791) | 温柔的(739) | 温和(126) | 😇(98) | gently(60)
neutral,2971,11,top_en,neutral(1581) | 😐(509) | 语速适中、语调稳定、情绪中性(236) | 无感情(122) | 正常(92) | monotone(91) | deadpan(89) | flat(78)
breathy,2916,20,top_en,breathy(622) | breath(368) | 喘息(274) | breathing(185) | 呼吸(168) | exhales(162) | heavy breathing(150) | breathless(142)
thoughtful,2788,7,top_en,🧐(1014) | 🤔(863) | thoughtful(282) | thinking(244) | reflective(154) | 思考(140) | reflexivo(91)
screaming,2671,3,top_en,screaming(1927) | scream(636) | 尖叫(108)
sigh,2607,6,top_en,sigh(1084) | sighs(656) | 😮‍💨(438) | sighing(240) | 叹气(120) | suspiro(69)
love,2491,14,top_en,🥰(554) | 😍(321) | love(230) | 😘(223) | loving(193) | 深情(187) | ❤️(149) | in love(138)
pain,2469,9,top_en,pain(1522) | paining(346) | 痛苦(197) | painful(83) | 🤕(80) | 疼痛(71) | 😣(59) | 痛苦的(58)
sensual,2420,2,top_en,sensual(2366) | sensuality(54)
tired,2408,10,top_en,tired(1313) | exhausted(249) | 🥱(172) | 疲惫(164) | 🫩(103) | 慵懒(101) | lazy(99) | cansada(87)
seductive,2190,9,top_en,seductive(1267) | sultry(249) | 誘惑(166) | seductively(120) | seducing(98) | seductora(85) | 诱惑(79) | seduction(69)
frustrated,2175,7,top_en,无奈(559) | frustrated(507) | 😫(355) | 😩(339) | 无奈的(221) | 😖(106) | exasperated(88)
energetic,2046,8,top_en,energetic(1103) | enthusiastic(265) | 激昂(262) | upbeat(102) | 热情(99) | 高昂(90) | animado(63) | 活泼(62)
flirty,2028,9,top_en,flirty(629) | 撒娇(574) | 😉(262) | 撒娇的(161) | flirtatious(137) | coqueta(90) | flirting(65) | flirt(59)
anxious,1935,11,top_en,着急(540) | anxious(322) | 焦急(277) | 慌张(166) | tense(129) | 着急的(117) | 焦急的(104) | stressed(91)
annoyed,1838,8,top_en,annoyed(712) | 😒(416) | 😑(183) | 🙄(136) | 无语(132) | 不耐烦(120) | impatient(87) | 烦躁(52)
confident,1791,7,top_en,confident(1099) | 自信(242) | 😎(180) | bold(84) | cocky(68) | confidence(66) | 霸气(52)
playful,1761,10,top_en,😈(581) | playful(486) | naughty(152) | 😋(126) | 😜(110) | joking(72) | 🤪(64) | 调皮(61)
curious,1661,5,top_en,curious(1313) | 好奇(167) | 好奇的(65) | wondering(60) | curioso(56)
worried,1605,8,top_en,worried(482) | concerned(383) | 担心(219) | 担忧(163) | worry(139) | 😟(83) | 😓(81) | concern(55)
soft,1459,2,top_en,soft(1123) | softly(336)
shy,1445,4,top_en,shy(770) | 害羞(521) | 害羞的(96) | 娇羞(58)
proud,1425,5,top_en,proud(1014) | 得意(197) | 骄傲(91) | 自豪(62) | 得意的(61)
nervous,1356,4,top_en,nervous(599) | 紧张(576) | 紧张的(97) | 语速稍快、语调升高、情绪紧张(84)
dramatic,1315,2,top_en,dramatic(1243) | 夸张的(72)
smug,1227,6,top_en,😏(645) | smug(199) | arrogant(118) | 嚣张(96) | 傲慢(94) | condescending(75)
cold,1226,7,top_en,cold(300) | 冷漠(295) | 清冷(266) | 冷酷(120) | 清冷淡漠(101) | 冷淡(81) | 冷漠的(63)
sarcastic,1206,6,top_en,sarcastic(543) | 嘲讽(280) | 吐槽(138) | sarcasm(117) | 自嘲(70) | sarcastically(58)
determined,1021,4,top_en,坚定(467) | firm(247) | determined(173) | 坚定的(134)
urgent,987,6,top_en,急切(346) | urgent(173) | demanding(167) | 急促(156) | 急切的(83) | eager(62)
funny,948,5,top_en,😅(224) | funny(224) | amused(219) | 🤭(146) | amusement(135)
warm,936,5,top_en,warm(630) | cálido(107) | warmly(76) | 温暖(64) | 温馨(59)
sleepy,925,3,top_en,sleepy(423) | 😴(421) | 😪(81)
